,Compound Score,Negative Score,Neutral Score,Outlet,Positive Score,Tweets Ago
0,0.4199,0.0,0.823,@BBCWorld,0.177,1
1,-0.4019,0.474,0.526,@BBCWorld,0.0,2
2,-0.25,0.286,0.714,@BBCWorld,0.0,3
3,0.0,0.0,1.0,@BBCWorld,0.0,4
4,0.0772,0.206,0.561,@BBCWorld,0.234,5
5,-0.4767,0.237,0.763,@BBCWorld,0.0,6
6,0.0,0.0,1.0,@BBCWorld,0.0,7
7,0.0,0.0,1.0,@BBCWorld,0.0,8
8,0.5106,0.0,0.837,@BBCWorld,0.163,9
9,-0.7595,0.334,0.666,@BBCWorld,0.0,10
10,0.34,0.0,0.769,@BBCWorld,0.231,11
11,0.0,0.0,1.0,@BBCWorld,0.0,12
12,-0.6705,0.234,0.766,@BBCWorld,0.0,13
13,0.0,0.0,1.0,@BBCWorld,0.0,14
14,0.4939,0.0,0.789,@BBCWorld,0.211,15
15,0.0,0.0,1.0,@BBCWorld,0.0,16
16,-0.5267,0.362,0.638,@BBCWorld,0.0,17
17,0.6597,0.0,0.526,@BBCWorld,0.474,18
18,-0.6808,0.32,0.68,@BBCWorld,0.0,19
19,-0.296,0.104,0.896,@BBCWorld,0.0,20
20,0.4199,0.0,0.823,@BBCWorld,0.177,21
21,-0.4019,0.474,0.526,@BBCWorld,0.0,22
22,-0.25,0.286,0.714,@BBCWorld,0.0,23
23,0.0,0.0,1.0,@BBCWorld,0.0,24
24,0.0772,0.206,0.561,@BBCWorld,0.234,25
25,-0.4767,0.237,0.763,@BBCWorld,0.0,26
26,0.0,0.0,1.0,@BBCWorld,0.0,27
27,0.0,0.0,1.0,@BBCWorld,0.0,28
28,0.5106,0.0,0.837,@BBCWorld,0.163,29
29,-0.7595,0.334,0.666,@BBCWorld,0.0,30
30,0.34,0.0,0.769,@BBCWorld,0.231,31
31,0.0,0.0,1.0,@BBCWorld,0.0,32
32,-0.6705,0.234,0.766,@BBCWorld,0.0,33
33,0.0,0.0,1.0,@BBCWorld,0.0,34
34,0.4939,0.0,0.789,@BBCWorld,0.211,35
35,0.0,0.0,1.0,@BBCWorld,0.0,36
36,-0.5267,0.362,0.638,@BBCWorld,0.0,37
37,0.6597,0.0,0.526,@BBCWorld,0.474,38
38,-0.6808,0.32,0.68,@BBCWorld,0.0,39
39,-0.296,0.104,0.896,@BBCWorld,0.0,40
40,0.0,0.0,1.0,@BBCWorld,0.0,41
41,-0.6249,0.421,0.579,@BBCWorld,0.0,42
42,0.0,0.0,1.0,@BBCWorld,0.0,43
43,-0.2732,0.231,0.769,@BBCWorld,0.0,44
44,0.3818,0.0,0.435,@BBCWorld,0.565,45
45,0.0,0.0,1.0,@BBCWorld,0.0,46
46,0.0,0.0,1.0,@BBCWorld,0.0,47
47,0.0,0.0,1.0,@BBCWorld,0.0,48
48,0.0,0.0,1.0,@BBCWorld,0.0,49
49,0.296,0.0,0.784,@BBCWorld,0.216,50
50,-0.3612,0.778,0.222,@BBCWorld,0.0,51
51,-0.6808,0.398,0.602,@BBCWorld,0.0,52
52,-0.2263,0.313,0.482,@BBCWorld,0.205,53
53,-0.4939,0.262,0.738,@BBCWorld,0.0,54
54,-0.296,0.355,0.645,@BBCWorld,0.0,55
55,-0.3182,0.203,0.649,@BBCWorld,0.147,56
56,-0.4019,0.209,0.791,@BBCWorld,0.0,57
57,-0.6249,0.186,0.814,@BBCWorld,0.0,58
58,-0.6705,0.478,0.522,@BBCWorld,0.0,59
59,0.0,0.0,1.0,@BBCWorld,0.0,60
60,0.0,0.0,1.0,@BBCWorld,0.0,61
61,0.0,0.0,1.0,@BBCWorld,0.0,62
62,-0.6908,0.439,0.561,@BBCWorld,0.0,63
63,0.0,0.0,1.0,@BBCWorld,0.0,64
64,-0.3182,0.172,0.766,@BBCWorld,0.062,65
65,0.5499,0.0,0.818,@BBCWorld,0.182,66
66,0.0,0.0,1.0,@BBCWorld,0.0,67
67,0.0,0.0,1.0,@BBCWorld,0.0,68
68,-0.5267,0.327,0.673,@BBCWorld,0.0,69
69,-0.5994,0.302,0.698,@BBCWorld,0.0,70
70,0.6486,0.17,0.351,@BBCWorld,0.48,71
71,0.0258,0.22,0.55,@BBCWorld,0.229,72
72,0.0,0.0,1.0,@BBCWorld,0.0,73
73,0.0,0.0,1.0,@BBCWorld,0.0,74
74,0.0,0.0,1.0,@BBCWorld,0.0,75
75,0.0,0.0,1.0,@BBCWorld,0.0,76
76,0.0,0.0,1.0,@BBCWorld,0.0,77
77,0.0,0.0,1.0,@BBCWorld,0.0,78
78,0.5574,0.0,0.765,@BBCWorld,0.235,79
79,-0.4767,0.237,0.763,@BBCWorld,0.0,80
80,0.0,0.0,1.0,@BBCWorld,0.0,81
81,0.3818,0.0,0.435,@BBCWorld,0.565,82
82,0.4939,0.0,0.686,@BBCWorld,0.314,83
83,-0.4588,0.25,0.75,@BBCWorld,0.0,84
84,0.0,0.0,1.0,@BBCWorld,0.0,85
85,0.0,0.0,1.0,@BBCWorld,0.0,86
86,0.0,0.0,1.0,@BBCWorld,0.0,87
87,-0.25,0.2,0.8,@BBCWorld,0.0,88
88,0.0,0.0,1.0,@BBCWorld,0.0,89
89,0.2023,0.0,0.769,@BBCWorld,0.231,90
90,0.0,0.0,1.0,@BBCWorld,0.0,91
91,0.0,0.0,1.0,@BBCWorld,0.0,92
92,-0.0258,0.121,0.879,@BBCWorld,0.0,93
93,0.0,0.0,1.0,@BBCWorld,0.0,94
94,0.0,0.0,1.0,@BBCWorld,0.0,95
95,0.296,0.0,0.872,@BBCWorld,0.128,96
96,0.0772,0.0,0.939,@BBCWorld,0.061,97
97,-0.296,0.095,0.905,@BBCWorld,0.0,98
98,0.0,0.0,1.0,@BBCWorld,0.0,99
99,0.4939,0.0,0.814,@BBCWorld,0.186,100
0,0.5267,0.0,0.825,@CBSNews,0.175,1
1,0.8122,0.0,0.486,@CBSNews,0.514,2
2,-0.6369,0.302,0.586,@CBSNews,0.113,3
3,0.0,0.0,1.0,@CBSNews,0.0,4
4,-0.5423,0.179,0.821,@CBSNews,0.0,5
5,0.0,0.0,1.0,@CBSNews,0.0,6
6,0.5267,0.0,0.793,@CBSNews,0.207,7
7,0.4404,0.0,0.879,@CBSNews,0.121,8
8,0.5719,0.096,0.639,@CBSNews,0.265,9
9,0.7506,0.0,0.652,@CBSNews,0.348,10
10,0.0,0.0,1.0,@CBSNews,0.0,11
11,0.0,0.0,1.0,@CBSNews,0.0,12
12,-0.4404,0.178,0.731,@CBSNews,0.091,13
13,-0.1027,0.104,0.896,@CBSNews,0.0,14
14,0.0772,0.107,0.769,@CBSNews,0.124,15
15,0.6705,0.0,0.519,@CBSNews,0.481,16
16,-0.296,0.167,0.833,@CBSNews,0.0,17
17,-0.2732,0.104,0.896,@CBSNews,0.0,18
18,0.0,0.0,1.0,@CBSNews,0.0,19
19,0.6249,0.0,0.83,@CBSNews,0.17,20
20,0.5267,0.0,0.825,@CBSNews,0.175,21
21,0.8122,0.0,0.486,@CBSNews,0.514,22
22,-0.6369,0.302,0.586,@CBSNews,0.113,23
23,0.0,0.0,1.0,@CBSNews,0.0,24
24,-0.5423,0.179,0.821,@CBSNews,0.0,25
25,0.0,0.0,1.0,@CBSNews,0.0,26
26,0.5267,0.0,0.793,@CBSNews,0.207,27
27,0.4404,0.0,0.879,@CBSNews,0.121,28
28,0.5719,0.096,0.639,@CBSNews,0.265,29
29,0.7506,0.0,0.652,@CBSNews,0.348,30
30,0.0,0.0,1.0,@CBSNews,0.0,31
31,0.0,0.0,1.0,@CBSNews,0.0,32
32,-0.4404,0.178,0.731,@CBSNews,0.091,33
33,-0.1027,0.104,0.896,@CBSNews,0.0,34
34,0.0772,0.107,0.769,@CBSNews,0.124,35
35,0.6705,0.0,0.519,@CBSNews,0.481,36
36,-0.296,0.167,0.833,@CBSNews,0.0,37
37,-0.2732,0.104,0.896,@CBSNews,0.0,38
38,0.0,0.0,1.0,@CBSNews,0.0,39
39,0.6249,0.0,0.83,@CBSNews,0.17,40
40,-0.296,0.155,0.845,@CBSNews,0.0,41
41,0.5106,0.0,0.784,@CBSNews,0.216,42
42,0.0,0.0,1.0,@CBSNews,0.0,43
43,0.0,0.0,1.0,@CBSNews,0.0,44
44,-0.6124,0.385,0.615,@CBSNews,0.0,45
45,0.0,0.0,1.0,@CBSNews,0.0,46
46,0.0,0.0,1.0,@CBSNews,0.0,47
47,-0.7506,0.39,0.61,@CBSNews,0.0,48
48,-0.1779,0.118,0.802,@CBSNews,0.08,49
49,0.0,0.0,1.0,@CBSNews,0.0,50
50,0.0,0.0,1.0,@CBSNews,0.0,51
51,-0.2732,0.16,0.84,@CBSNews,0.0,52
52,-0.4404,0.195,0.805,@CBSNews,0.0,53
53,0.4939,0.0,0.802,@CBSNews,0.198,54
54,-0.6486,0.301,0.699,@CBSNews,0.0,55
55,0.0,0.0,1.0,@CBSNews,0.0,56
56,0.6249,0.0,0.702,@CBSNews,0.298,57
57,-0.4404,0.178,0.731,@CBSNews,0.091,58
58,0.0,0.0,1.0,@CBSNews,0.0,59
59,-0.3182,0.133,0.867,@CBSNews,0.0,60
60,0.0,0.0,1.0,@CBSNews,0.0,61
61,-0.8591,0.538,0.462,@CBSNews,0.0,62
62,-0.34,0.194,0.806,@CBSNews,0.0,63
63,0.34,0.0,0.854,@CBSNews,0.146,64
64,0.2023,0.0,0.859,@CBSNews,0.141,65
65,0.1531,0.085,0.802,@CBSNews,0.113,66
66,0.0,0.0,1.0,@CBSNews,0.0,67
67,-0.7964,0.353,0.647,@CBSNews,0.0,68
68,-0.296,0.196,0.804,@CBSNews,0.0,69
69,0.0,0.0,1.0,@CBSNews,0.0,70
70,0.3818,0.0,0.809,@CBSNews,0.191,71
71,-0.5994,0.231,0.769,@CBSNews,0.0,72
72,-0.5574,0.247,0.753,@CBSNews,0.0,73
73,-0.228,0.262,0.537,@CBSNews,0.201,74
74,-0.5719,0.309,0.507,@CBSNews,0.184,75
75,0.5719,0.117,0.559,@CBSNews,0.324,76
76,0.4019,0.0,0.863,@CBSNews,0.137,77
77,0.4215,0.0,0.865,@CBSNews,0.135,78
78,-0.836,0.435,0.46,@CBSNews,0.105,79
79,0.0,0.0,1.0,@CBSNews,0.0,80
80,0.8126,0.0,0.641,@CBSNews,0.359,81
81,0.5994,0.0,0.813,@CBSNews,0.187,82
82,-0.34,0.13,0.87,@CBSNews,0.0,83
83,0.0,0.0,1.0,@CBSNews,0.0,84
84,-0.7579,0.309,0.602,@CBSNews,0.088,85
85,0.0,0.0,1.0,@CBSNews,0.0,86
86,0.5106,0.0,0.784,@CBSNews,0.216,87
87,0.0772,0.107,0.769,@CBSNews,0.124,88
88,0.0,0.0,1.0,@CBSNews,0.0,89
89,0.0,0.0,1.0,@CBSNews,0.0,90
90,0.0,0.0,1.0,@CBSNews,0.0,91
91,-0.659,0.221,0.779,@CBSNews,0.0,92
92,0.0,0.0,1.0,@CBSNews,0.0,93
93,0.3612,0.0,0.889,@CBSNews,0.111,94
94,-0.5267,0.139,0.861,@CBSNews,0.0,95
95,0.2023,0.0,0.913,@CBSNews,0.087,96
96,0.7964,0.0,0.616,@CBSNews,0.384,97
97,-0.1625,0.191,0.684,@CBSNews,0.125,98
98,0.0,0.0,1.0,@CBSNews,0.0,99
99,-0.3556,0.134,0.866,@CBSNews,0.0,100
0,0.0,0.0,1.0,@CNN,0.0,1
1,0.0,0.0,1.0,@CNN,0.0,2
2,0.7506,0.085,0.569,@CNN,0.346,3
3,0.0,0.0,1.0,@CNN,0.0,4
4,0.0,0.0,1.0,@CNN,0.0,5
5,0.0,0.0,1.0,@CNN,0.0,6
6,0.34,0.0,0.876,@CNN,0.124,7
7,-0.872,0.414,0.586,@CNN,0.0,8
8,-0.5994,0.196,0.804,@CNN,0.0,9
9,0.0,0.0,1.0,@CNN,0.0,10
10,0.0,0.0,1.0,@CNN,0.0,11
11,-0.7783,0.264,0.736,@CNN,0.0,12
12,0.0,0.0,1.0,@CNN,0.0,13
13,-0.5994,0.196,0.804,@CNN,0.0,14
14,0.5927,0.0,0.784,@CNN,0.216,15
15,0.0,0.0,1.0,@CNN,0.0,16
16,-0.1531,0.082,0.918,@CNN,0.0,17
17,0.2732,0.103,0.739,@CNN,0.158,18
18,0.34,0.0,0.876,@CNN,0.124,19
19,0.0,0.0,1.0,@CNN,0.0,20
20,0.0,0.0,1.0,@CNN,0.0,21
21,0.0,0.0,1.0,@CNN,0.0,22
22,0.7506,0.085,0.569,@CNN,0.346,23
23,0.0,0.0,1.0,@CNN,0.0,24
24,0.0,0.0,1.0,@CNN,0.0,25
25,0.0,0.0,1.0,@CNN,0.0,26
26,0.34,0.0,0.876,@CNN,0.124,27
27,-0.872,0.414,0.586,@CNN,0.0,28
28,-0.5994,0.196,0.804,@CNN,0.0,29
29,0.0,0.0,1.0,@CNN,0.0,30
30,0.0,0.0,1.0,@CNN,0.0,31
31,-0.7783,0.264,0.736,@CNN,0.0,32
32,0.0,0.0,1.0,@CNN,0.0,33
33,-0.5994,0.196,0.804,@CNN,0.0,34
34,0.5927,0.0,0.784,@CNN,0.216,35
35,0.0,0.0,1.0,@CNN,0.0,36
36,-0.1531,0.082,0.918,@CNN,0.0,37
37,0.2732,0.103,0.739,@CNN,0.158,38
38,0.34,0.0,0.876,@CNN,0.124,39
39,0.0,0.0,1.0,@CNN,0.0,40
40,0.0,0.0,1.0,@CNN,0.0,41
41,0.0,0.0,1.0,@CNN,0.0,42
42,0.0,0.0,1.0,@CNN,0.0,43
43,0.0,0.0,1.0,@CNN,0.0,44
44,0.296,0.0,0.885,@CNN,0.115,45
